#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
1751615359277392149,VALID,VALID,295,0,196,141,196,104,112,0,0,270,3,6,71,0,0,0,3,0,0,0,0
1751615359509743929,VALID,VALID,299,0,287,70,287,48,53,0,0,387,5,13,111,0,0,0,19,0,0,0,0
1751615359742037773,VALID,VALID,278,0,247,129,247,92,112,0,0,275,6,13,102,0,0,0,19,0,0,0,0
1751615359974272013,VALID,VALID,293,0,251,170,251,120,147,0,0,305,1,13,55,0,0,0,4,0,0,0,0
1751615360206700802,VALID,VALID,288,0,282,172,282,120,134,0,0,302,5,11,80,0,0,0,11,0,0,0,0
1751615360439110041,VALID,VALID,284,0,288,202,288,137,146,0,0,261,4,12,93,0,0,0,3,0,0,0,0
1751615360671464205,LOW_DISPARITY,VALID,279,0,281,225,281,149,151,0,0,230,3,11,91,0,0,0,1,0,0,0,0
1751615360903760433,VALID,VALID,283,0,275,232,275,146,153,0,0,223,4,10,89,0,0,0,0,0,0,0,0
1751615361136153460,VALID,VALID,270,0,276,217,276,134,142,0,0,229,2,12,86,0,0,0,1,0,0,0,0
1751615361368598938,LOW_DISPARITY,VALID,284,0,270,237,270,138,149,0,0,209,1,13,94,0,0,0,0,0,0,0,0
1751615361766945601,VALID,VALID,293,0,284,244,284,143,152,0,0,220,1,15,97,0,0,0,0,0,0,0,0
1751615361999240637,LOW_DISPARITY,VALID,292,0,292,267,292,170,174,0,0,210,3,15,89,0,0,0,0,0,0,0,0
1751615362364528894,LOW_DISPARITY,VALID,266,0,288,217,288,133,135,0,0,231,2,11,93,0,0,0,2,0,0,0,0
1751615362862423658,VALID,VALID,273,0,266,248,266,156,158,0,0,196,2,11,82,0,0,0,0,0,0,0,0
1751615363095453739,VALID,VALID,279,0,272,257,272,167,167,0,0,196,2,11,85,0,0,0,0,0,0,0,0
1751615363297015905,LOW_DISPARITY,VALID,294,0,279,273,279,180,180,0,0,199,2,13,86,0,0,0,0,0,0,0,0
1751615363868336201,VALID,VALID,294,0,289,273,289,186,188,0,0,208,4,14,84,0,0,0,0,0,0,0,0
1751615364069914103,VALID,VALID,292,0,292,269,292,179,183,0,0,220,4,14,77,0,0,0,0,0,0,0,0
1751615364302100897,VALID,VALID,276,0,289,228,289,148,150,0,0,246,4,9,78,0,0,0,1,0,0,0,0
1751615364534214497,VALID,VALID,292,0,275,243,275,163,164,0,0,230,4,11,79,0,0,0,0,0,0,0,0
1751615364766253710,LOW_DISPARITY,VALID,298,0,291,278,291,194,196,0,0,221,3,9,78,0,0,0,0,0,0,0,0
1751615364998219967,LOW_DISPARITY,VALID,285,0,295,260,295,197,202,0,0,234,4,8,74,0,0,0,0,0,0,0,0
1751615365230354548,VALID,VALID,279,0,282,249,282,188,212,0,0,260,4,8,40,0,0,0,0,0,0,0,0
1751615365462465525,LOW_DISPARITY,VALID,296,0,278,268,278,217,234,0,0,265,4,9,28,0,0,0,0,0,0,0,0
1751615365992719650,LOW_DISPARITY,VALID,297,0,264,208,264,159,178,0,0,291,5,8,49,0,0,1,1,0,0,0,0
1751615366227155685,VALID,VALID,307,0,296,281,296,218,223,0,0,254,6,6,56,0,0,0,0,0,0,0,0
1751615366429714680,VALID,VALID,302,0,303,273,303,214,220,0,0,256,2,7,67,0,0,0,0,0,0,0,0
1751615366632390976,VALID,VALID,288,0,272,201,272,148,155,0,0,280,5,8,66,0,0,0,2,0,0,0,0
1751615366835184813,VALID,VALID,261,0,258,145,258,123,130,0,0,287,5,8,74,0,0,0,19,0,0,0,0
1751615367038096428,VALID,VALID,284,0,252,203,252,164,172,0,0,263,3,9,58,0,0,0,1,0,0,0,0
1751615367239337206,VALID,VALID,285,0,283,254,283,200,206,0,0,255,2,6,51,0,0,0,0,0,0,0,0
1751615367439540625,VALID,VALID,289,0,284,266,284,206,213,0,0,238,4,6,59,0,0,0,0,0,0,0,0
1751615367639777899,VALID,VALID,305,0,288,282,288,212,216,0,0,235,3,9,64,0,0,0,0,0,0,0,0
1751615367840048790,VALID,VALID,292,0,303,292,303,216,218,0,0,234,3,9,57,0,0,0,0,0,0,0,0
1751615368040353537,LOW_DISPARITY,VALID,284,0,292,284,292,210,215,0,0,225,3,9,55,0,0,0,0,0,0,0,0
1751615368273179054,VALID,VALID,292,0,282,237,282,182,190,0,0,253,5,10,69,0,0,0,0,0,0,0,0
1751615368505525112,LOW_DISPARITY,VALID,302,0,285,273,285,205,212,0,0,236,3,9,66,0,0,0,0,0,0,0,0
1751615368737810135,VALID,VALID,286,0,298,286,298,216,219,0,0,228,2,9,59,0,0,0,0,0,0,0,0
1751615368970031977,VALID,VALID,299,0,276,271,276,200,208,0,0,231,3,9,61,0,0,0,0,0,0,0,0
1751615369202303410,LOW_DISPARITY,VALID,292,0,295,292,295,213,217,0,0,221,3,10,61,0,0,0,0,0,0,0,0
1751615369832837105,LOW_DISPARITY,VALID,284,0,290,253,290,178,189,0,0,241,3,11,66,0,0,0,0,0,0,0,0
1751615370131593227,VALID,VALID,311,0,282,282,282,207,212,0,0,230,4,10,67,0,0,0,0,0,0,0,0
1751615370332038879,LOW_DISPARITY,VALID,305,0,309,305,309,219,224,0,0,228,4,10,67,0,0,0,0,0,0,0,0
